grid_id,row,col,centroid_lat,centroid_lon,elevation_m,slope_deg,distance_to_river_m,road_density_km_per_km2,building_density_count_per_km2,susceptibility,flood_polygon_intersection,flood_polygon_source
G0608,6,8,-2.015402,29.999101,1471.0,6.62,841,1.23,0,0.30134815823237443,0,official
G0609,6,9,-2.015402,30.001348,1437.0,6.28,648,4.33,0,0.4325113607285892,0,official
G0610,6,10,-2.015402,30.003595,1427.0,6.07,501,5.63,0,0.5149310135572284,0,official
G0611,6,11,-2.015402,30.005842,1387.0,7.68,411,12.04,128,0.6391988523422405,0,official
G0612,6,12,-2.015402,30.008089,1362.0,4.22,325,0.0,96,0.7791569305686867,0,official
G0613,6,13,-2.015402,30.010336,1351.0,1.15,238,0.0,0,0.8915249344240593,1,official
G0614,6,14,-2.015402,30.012584,1352.0,0.11,122,0.0,0,0.9357490220375556,1,official
G0615,6,15,-2.015402,30.014831,1351.0,0.0,69,4.75,0,0.9838701647191469,1,official
G0616,6,16,-2.015402,30.017078,1352.0,0.11,275,0.0,0,0.8783522398996841,1,official
G0617,6,17,-2.015402,30.019325,1351.0,0.11,157,0.0,0,0.9452292144305279,1,official
G0618,6,18,-2.015402,30.021572,1352.0,2.86,59,5.82,0,0.9148380513232325,1,official
G0619,6,19,-2.015402,30.023819,1376.0,9.97,269,4.75,0,0.6343998346080154,0,official
G0620,6,20,-2.015402,30.026067,1410.0,6.87,373,3.34,96,0.6229482150440581,0,official
G0621,6,21,-2.015402,30.028314,1411.0,12.91,377,2.83,96,0.5353810325909433,0,official
G0622,6,22,-2.015402,30.030561,1477.0,16.04,328,6.5,0,0.37498824463862246,0,official
G0623,6,23,-2.015402,30.032808,1439.0,18.14,271,9.74,496,0.5156778247506222,0,official
G0624,6,24,-2.015402,30.035055,1397.0,12.33,181,8.06,576,0.6647589639535272,0,official
G0625,6,25,-2.015402,30.037302,1385.0,5.82,72,9.33,256,0.8143262701676008,0,official
G0626,6,26,-2.015402,30.039549,1380.0,2.46,71,1.29,16,0.8560301112214783,0,official
G0700,7,0,-2.013157,29.981124,1510.0,9.66,303,7.5,0,0.4111902549437164,0,official
G0701,7,1,-2.013157,29.983371,1473.0,8.48,54,4.25,0,0.5623161516156657,0,official
G0702,7,2,-2.013157,29.985618,1495.0,7.16,179,4.21,0,0.5107115624769637,0,official
G0703,7,3,-2.013157,29.987865,1497.0,5.33,419,4.0,0,0.4513120913041973,0,official
G0704,7,4,-2.013157,29.990112,1522.0,5.91,666,5.33,0,0.32451152694393154,0,official
G0705,7,5,-2.013157,29.992359,1531.0,2.81,709,1.78,0,0.34655718753348913,0,official
G0706,7,6,-2.013157,29.994606,1527.0,2.64,673,15.0,0,0.3657068159482848,0,official
G0707,7,7,-2.013157,29.996854,1508.0,4.74,727,7.49,0,0.33570391747176687,0,official
G0708,7,8,-2.013157,29.999101,1487.0,9.1,853,3.25,0,0.2373620698904638,0,official
G0709,7,9,-2.013157,30.001348,1428.0,10.27,843,4.84,0,0.3144437916189645,0,official
G0710,7,10,-2.013157,30.003595,1398.0,8.07,618,6.41,0,0.4874743488687644,0,official
G0711,7,11,-2.013157,30.005842,1374.0,4.96,399,4.14,64,0.7119009541815573,0,official
G0712,7,12,-2.013157,30.008089,1360.0,2.86,245,0.0,0,0.7879250471726089,0,official
G0713,7,13,-2.013157,30.010336,1350.0,0.92,80,0.0,0,0.9688887848256199,1,official
